"Zaman damgası","Cinsiyetiniz","Yaşınız","Medeni Haliniz","Eğitim Durumunuz","Düzenli Bir İşte Çalışıyor Musunuz? ","Kalabalık önünde konuşmaktan utanırım.","Başkalarının yaptıkları yanlışları görünce onlara yaptıklarının yanlış olduğunu söylemekten utanırım.","İnsanlara onlara karşı olan duygularımı söylemekten utanırım.","Bana ait olan eşyaları başkasına ödünç verdiğimde geri istemeye utanırım. ","Toplum içinde başkası tarafından övülmekten utanırım.","Alakam olmasa dahi bir başkasının yaptığı hareketlerden utanırım.","Anlatılan şeyleri anlamadığım zaman tekrar etmelerini istemeye utanırım.",""
"2021/03/26 12:17:28 ÖÖ GMT+3","Kadın","18-24","Bekar","Üniversite","Hayır","2","2","1","2","1","3","1",""
"2021/03/26 12:20:12 ÖÖ GMT+3","Erkek","25-34","Evli","Üniversite","Evet","1","2","1","1","4","2","1",""
"2021/03/26 12:20:30 ÖÖ GMT+3","Erkek","35-44","Evli","Üniversite","Evet","2","2","2","4","2","1","1",""
"2021/03/26 12:23:17 ÖÖ GMT+3","Erkek","18-24","Bekar","Lise","Hayır","1","2","2","3","2","3","2",""
"2021/03/26 12:25:13 ÖÖ GMT+3","Kadın","25-34","Evli","Yüksek Lisans","Evet","2","1","1","4","2","1","2",""
"2021/03/26 12:26:46 ÖÖ GMT+3","Erkek","35-44","Evli","Üniversite","Evet","1","2","4","4","2","2","2",""
"2021/03/26 12:30:03 ÖÖ GMT+3","Kadın","25-34","Evli","Üniversite","Evet","1","2","2","3","1","1","1",""
"2021/03/26 12:34:13 ÖÖ GMT+3","Kadın","35-44","Evli","Üniversite","Evet","1","2","1","4","4","1","1",""
"2021/03/26 12:35:06 ÖÖ GMT+3","Kadın","45+","Evli","Üniversite","Evet","1","3","3","4","4","3","3",""
"2021/03/26 12:40:06 ÖÖ GMT+3","Erkek","18-24","Bekar","Üniversite","Hayır","3","3","2","2","3","1","3",""
"2021/03/26 12:44:11 ÖÖ GMT+3","Kadın","35-44","Evli","Yüksek Lisans","Evet","2","2","1","3","3","2","2",""
"2021/03/26 12:51:21 ÖÖ GMT+3","Erkek","18-24","Bekar","Üniversite","Hayır","2","4","3","2","2","4","1",""
"2021/03/26 12:56:28 ÖÖ GMT+3","Kadın","18-24","Bekar","Üniversite","Hayır","1","1","2","4","4","3","3",""
"2021/03/26 1:07:27 ÖÖ GMT+3","Kadın","18-24","Evli","Üniversite","Evet","1","3","2","4","4","4","3",""
"2021/03/26 1:13:44 ÖÖ GMT+3","Erkek","18-24","Bekar","Üniversite","Evet","1","1","1","1","1","3","2",""
"2021/03/26 1:50:33 ÖÖ GMT+3","Erkek","18-24","Bekar","Üniversite","Hayır","4","3","3","3","3","4","3",""
"2021/03/26 2:02:06 ÖÖ GMT+3","Erkek","18-24","Bekar","Üniversite","Hayır","3","2","3","1","2","2","2",""
"2021/03/26 2:22:31 ÖÖ GMT+3","Erkek","18-24","Bekar","Üniversite","Evet","1","1","1","1","1","3","2",""
"2021/03/26 2:24:10 ÖÖ GMT+3","Kadın","18-24","Bekar","Lise","Hayır","3","3","2","3","3","2","2",""
"2021/03/26 2:27:13 ÖÖ GMT+3","Erkek","18-24","Bekar","Üniversite","Hayır","2","2","2","2","2","2","2",""
"2021/03/26 2:41:10 ÖÖ GMT+3","Kadın","18-24","Bekar","Üniversite","Hayır","3","2","3","3","3","4","1",""
"2021/03/26 3:03:53 ÖÖ GMT+3","Kadın","18-24","Bekar","Üniversite","Hayır","4","2","2","3","2","4","2",""
"2021/03/26 3:23:43 ÖÖ GMT+3","Erkek","18-24","Bekar","Üniversite","Hayır","2","4","3","2","2","4","1",""
"2021/03/26 6:24:45 ÖÖ GMT+3","Kadın","35-44","Evli","Üniversite","Evet","3","2","3","3","1","2","2",""
"2021/03/26 7:13:35 ÖÖ GMT+3","Kadın","25-34","Bekar","Üniversite","Hayır","2","3","2","2","1","3","1",""
"2021/03/26 7:19:10 ÖÖ GMT+3","Erkek","25-34","Bekar","Üniversite","Evet","1","2","3","4","1","1","1",""
"2021/03/26 7:19:44 ÖÖ GMT+3","Kadın","25-34","Evli","Üniversite","Evet","3","2","1","4","1","2","1",""
"2021/03/26 7:37:11 ÖÖ GMT+3","Erkek","25-34","Bekar","Üniversite","Evet","1","2","1","1","1","2","1",""
"2021/03/26 8:01:12 ÖÖ GMT+3","Kadın","18-24","Bekar","Üniversite","Hayır","3","2","3","4","4","4","4",""
"2021/03/26 8:16:26 ÖÖ GMT+3","Kadın","25-34","Bekar","Yüksek Lisans","Evet","1","1","1","2","3","3","2",""
"2021/03/26 8:39:02 ÖÖ GMT+3","Kadın","18-24","Bekar","Üniversite","Hayır","2","2","3","3","4","2","3",""
"2021/03/26 8:46:18 ÖÖ GMT+3","Erkek","25-34","Evli","Yüksek Lisans","Evet","3","1","1","4","1","4","2",""
"2021/03/26 8:49:48 ÖÖ GMT+3","Erkek","35-44","Evli","Üniversite","Evet","3","3","2","3","3","3","4",""
"2021/03/26 8:57:00 ÖÖ GMT+3","Erkek","25-34","Evli","Üniversite","Evet","3","3","3","4","4","3","3",""
"2021/03/26 9:08:19 ÖÖ GMT+3","Kadın","25-34","Bekar","Üniversite","Evet","3","2","1","4","3","1","2",""
